category,sentiment,count
BB크림,negative,365
BB크림,neutral,91
BB크림,positive,3259
cleansing,negative,7923
cleansing,neutral,4831
cleansing,positive,39196
maskpack,negative,9928
maskpack,neutral,5310
maskpack,positive,42770
skincare,negative,10946
skincare,neutral,6726
skincare,positive,51259
suncare,negative,6440
suncare,neutral,4069
suncare,positive,32127
나이트크림,negative,161
나이트크림,neutral,43
나이트크림,positive,2251
립스틱,negative,430
립스틱,neutral,99
립스틱,positive,2798
립틴트,negative,400
립틴트,neutral,164
립틴트,positive,3729
마스카라,negative,554
마스카라,neutral,165
마스카라,positive,4307
마스크팩,negative,494
마스크팩,neutral,142
마스크팩,positive,5605
미스트,negative,585
미스트,neutral,252
미스트,positive,5384
선크림,negative,452
선크림,neutral,71
선크림,positive,4536
세럼,negative,287
세럼,neutral,81
세럼,positive,3418
수분크림,negative,234
수분크림,neutral,37
수분크림,positive,2971
스킨케어,negative,299
스킨케어,neutral,75
스킨케어,positive,2370
아이섀도,negative,347
아이섀도,neutral,107
아이섀도,positive,3279
아이크림,negative,291
아이크림,neutral,176
아이크림,positive,3513
컨실러,negative,242
컨실러,neutral,110
컨실러,positive,3049
쿠션팩트,negative,476
쿠션팩트,neutral,108
쿠션팩트,positive,3425
클렌징오일,negative,578
클렌징오일,neutral,153
클렌징오일,positive,5313
클렌징폼,negative,543
클렌징폼,neutral,98
클렌징폼,positive,5295
토너,negative,358
토너,neutral,51
토너,positive,3447
파운데이션,negative,474
파운데이션,neutral,149
파운데이션,positive,3621
화장품,negative,509
화장품,neutral,115
화장품,positive,4443
