product_id,product_name,skin_category,aspect,sentiment,count
561732,데일리 라이트핏 선젤 50ml,건성,가격/가성비,positive,2
561732,데일리 라이트핏 선젤 50ml,건성,발림성/흡수력,negative,6
561732,데일리 라이트핏 선젤 50ml,건성,발림성/흡수력,positive,4
561732,데일리 라이트핏 선젤 50ml,복합성,가격/가성비,negative,1
561732,데일리 라이트핏 선젤 50ml,복합성,가격/가성비,positive,2
561732,데일리 라이트핏 선젤 50ml,복합성,발림성/흡수력,negative,3
561732,데일리 라이트핏 선젤 50ml,복합성,발림성/흡수력,positive,2
561732,데일리 라이트핏 선젤 50ml,복합성,보습/수분,positive,2
561732,데일리 라이트핏 선젤 50ml,지성,발림성/흡수력,negative,3
561732,데일리 라이트핏 선젤 50ml,지성,발림성/흡수력,positive,2
561732,데일리 라이트핏 선젤 50ml,지성,보습/수분,positive,1
561732,데일리 라이트핏 선젤 50ml,지성,효과,positive,1
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,건성,가격/가성비,positive,2
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,건성,발림성/흡수력,negative,1
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,가격/가성비,positive,3
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,발림성/흡수력,positive,5
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,보습/수분,positive,1
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,용기/디자인,positive,1
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,트러블/자극,negative,2
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,향,positive,1
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,복합성,효과,positive,2
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,지성,발림성/흡수력,positive,4
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,지성,보습/수분,positive,2
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,지성,지속력,positive,1
1205514,미남크림 톤업 화이트닝 남자톤업크림 50ml,지성,트러블/자극,negative,1
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,가격/가성비,negative,3
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,가격/가성비,positive,30
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,발림성/흡수력,negative,8
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,발림성/흡수력,positive,25
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,보습/수분,negative,15
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,보습/수분,positive,53
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,용기/디자인,positive,1
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,트러블/자극,negative,49
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,트러블/자극,positive,14
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,향,negative,2
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,향,positive,6
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,효과,negative,1
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),건성,효과,positive,3
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,가격/가성비,negative,1
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,가격/가성비,positive,20
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,발림성/흡수력,negative,13
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,발림성/흡수력,positive,7
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,보습/수분,negative,3
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,보습/수분,positive,29
1218467,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),민감성,지속력,positive,1
