platform,product_id,product_name,aspect,sentiment,count
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",가격/가성비,negative,17
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",가격/가성비,neutral,3
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",가격/가성비,positive,199
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",발림성/흡수력,negative,96
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",발림성/흡수력,positive,151
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",보습/수분,negative,141
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",보습/수분,neutral,5
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",보습/수분,positive,507
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",용기/디자인,negative,2
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",용기/디자인,positive,17
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",지속력,negative,3
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",지속력,neutral,3
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",지속력,positive,22
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",트러블/자극,negative,156
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",트러블/자극,neutral,3
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",트러블/자극,positive,44
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",향,negative,17
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",향,neutral,3
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",향,positive,82
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",효과,negative,8
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",효과,positive,51
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",가격/가성비,negative,6
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",가격/가성비,positive,67
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",발림성/흡수력,negative,4
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",발림성/흡수력,positive,91
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",보습/수분,negative,3
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",보습/수분,positive,17
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",용기/디자인,negative,2
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",용기/디자인,positive,42
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",지속력,negative,8
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",지속력,neutral,1
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",지속력,positive,275
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",트러블/자극,negative,43
