platform,product_id,product_name,category,brand_name,review_count,avg_rating,n_negative,n_neutral,n_positive
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",미스트,,323,4.396284829721362,37,10,276
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",마스카라,,314,4.509554140127388,31,4,279
coupang,1103663915,"닥터지 레드 블레미쉬 포 맨 올인원 플루이드, 150ml, 1개",화장품,,311,4.540192926045016,30,2,279
coupang,110881849,"아이섀도우 팔레트 데일리 음영 메이크업 갈색 계열, 01 NO.1 베이직브라운, 1개",아이섀도,,183,3.759562841530055,40,25,118
coupang,112291268,"미샤 4D 마스카라 7g, 블랙, 1개",마스카라,,309,4.517799352750809,30,9,270
coupang,1162973598,"미샤 듀이 루즈 립스틱, 1개, 슬로잉코랄",립스틱,,329,4.395136778115502,38,11,280
coupang,11745907,"HERA본사 정품헤라 선메이트 레포츠 프로 워터프루프 선크림 SPF50+ PA++++, 70ml, 1개R.L",선크림,,30,1.0,30,0,0
coupang,1176713569,"일리윤 히알루론 모이스춰 수분크림, 100ml, 1개",스킨케어,,327,4.581039755351682,30,1,296
coupang,1176905430,"바세린 보습 시트 마스크, 1개입, 10개",마스크팩,,301,4.677740863787376,15,11,275
coupang,119460027,"마녀공장 허브 클렌징 오일, 200ml, 1개",클렌징오일,,308,4.4772727272727275,25,15,268
coupang,12379102,"메디플라워 콜라겐 링클 아이크림, 40ml, 5개",아이크림,,313,4.357827476038339,33,19,261
coupang,1258863953,"에이트루 오리진 퓨어 밸런싱 클렌징 오일, 300ml, 1개",클렌징오일,,253,4.426877470355731,21,18,214
coupang,1262503387,"예화담 환생고 화윤 기초화장품 2종 세트, 1세트",화장품,,34,4.4411764705882355,3,2,29
coupang,1315767279,"한스킨 세미매트 블레미쉬 커버 컨실 쿠션파운데이션 본품 11g + 리필 11g, N21 크림, 1개",쿠션팩트,,265,4.535849056603774,32,1,232
coupang,1322900613,"라퓨레브 달팽이 아이크림, 3개, 100ml쿠폰할인",아이크림,,46,4.608695652173913,3,0,43
coupang,1329432073,"앰플엔 센텔카밍샷 앰플, 100ml, 1개",세럼,,171,4.654970760233918,10,3,158
coupang,136124456,"에스엔 스킨 티 크림, 1개, 50ml할인· 1일 남음",수분크림,,159,4.7924528301886795,4,3,152
coupang,1362079507,"토니모리 더블니즈 팡팡 마스카라 12g, 3호 롱롱래쉬, 1개",마스카라,,302,4.33112582781457,32,24,246
coupang,1370411548,"더샘 스튜디오 광채 파운데이션 10ml, 1개, 뉴트럴 21호쿠폰할인",파운데이션,,307,4.374592833876221,30,14,263
coupang,1380190995,"fmgt 워터프루프 이엑스 쿠션파운데이션 15g, V203 내추럴 베이지, 1개",쿠션팩트,,72,4.138888888888889,12,5,55
coupang,1384189358,"더페이스샵 골드 콜라겐 볼륨마스카라 12g, 1개",마스카라,,183,4.3224043715847,26,7,150
coupang,1388107966,"수려한 연 퍼펙트 커버 BB크림 SPF50+ PA+++, 50ml, 1개",BB크림,,56,4.5,5,1,50
coupang,13894586,"아미옥 러브핏 휘핑립스 립틴트, 12포근한맛, 2개할인",립틴트,,182,3.5549450549450547,50,30,102
coupang,1414809213,"라운드랩 독도 토너, 500ml, 1개",토너,,281,4.551601423487544,30,0,251
coupang,1423124805,"차앤박 톤 업 프로텍션 선크림 SPF42 PA+++, 50ml, 1개",선크림,,307,4.469055374592834,32,6,269
coupang,1459876591,"은율 데일리 케어 히알루론산 미스트, 100ml, 3개",미스트,,153,4.490196078431373,16,3,134
coupang,1473062788,"닥터지 그린 마일드 업 선 플러스 SPF50+ PA++++, 35ml, 2개",선크림,,311,4.559485530546624,30,1,280
coupang,1485734813,"브이디엘 엑스퍼트 퍼펙트 핏 쿠션 본품 15g + 리필 15g 세트, A02, 1개",쿠션팩트,,113,4.389380530973451,11,7,95
coupang,15391154,"머지 더 퍼스트 립스틱, 1개, L5KISSME",립스틱,,325,4.430769230769231,30,10,285
coupang,1547725003,"미샤 데어 루즈 쉬어 슬릭 립스틱, 1개, 올댓로즈",립스틱,,267,4.382022471910112,25,16,226
coupang,1556632809,"라운드랩 1025 독도 클렌저 클렌징 폼, 150ml, 1개",클렌징폼,,219,4.410958904109589,30,2,187
coupang,1570828403,"미바 이온칼슘 더블 알엑스 쿠션 파운데이션 본품 25g + 리필 25g 2p, 21호 화사한피부, 1개33",쿠션팩트,,297,4.434343434343434,33,6,258
coupang,1572958261,"크리스마 더마랩 약산성 수분 진정 토너, 500ml, 1개",토너,,332,4.545180722891566,38,1,293
coupang,1601751188,"미샤 글로우 스킨밤 투 고 미스트, 80ml, 1개",미스트,,300,4.616666666666666,13,20,267
