platform,product_id,product_name,sentiment,rating,review_content,nickname
oliveyoung,A000000171581,"[남성 선물 추천] 우르오스 2종 세트 택1(지복합성, 중건성)",positive,4.0,남자친구가 향에 민감해서 매장가서 직접 테스트해보았는데. 괜찮다길래 매장에서 사려던 찰나 온라인에서 세트로 싸게팔길래 바로구매했네요~피부에도 잘 맞았으면 좋겠네요.,
oliveyoung,A000000216311,[*피지잡는 *약산성클렌저 *클렌징폼] 아벤느 클리낭스 클렌징 젤 400ml 더블 기획,negative,1.0,아벤느 제품이라 성분 좋을거라 믿고 샀는데 ㅜ ㅜ 인공향 냄새도 나고 트러블이 여러개 남... 그냥 손 세척용으로 사용해야겠음... ㅎㅎㅎ,
oliveyoung,A000000244756,[1+1기획/산뜻모공] 뉴트로지나 딥클린 클렌징 오일 200ml,negative,1.0,혹시 치노시오야 클렌징 오일 쓰다가 좀 싼거 쓰려고 이거 사려는거면 비추 블랙헤드 안녹여줌 괜히 쓰고나면 더 찜찜함 글고 피부 건조한분이 쓰면 땡깁니다,
oliveyoung,A000000010461,[톤보정] 라로슈포제 유비데아 안뗄리오스 틴티드 크림,positive,5.0,ㅈ좋다고 추천받고 구매하게 되었습니다 발라봤는데 선크김 기능에 베이스 기능까지 있어서 피부가 좀 더 화사하게 표현 될 것   같아요 촉촉하고 발림성도 좋더라구요 ㅎㅎ 믿고 사게 되는 것 같습니다.!,
oliveyoung,A000000230983,바이오더마 하이드라비오 H2O 500ml,negative,1.0,배송이 10일씩이나 소요되는건 문제가 있다고 생각됩니다.10만원 넘게 결제하고 당장 필요해서 구입했는데..차라리 배송소요시간을 상품 구매 안내사항에 기재하는게  고객에에대한 배려가 아닐까 싶네요.제품에 대한 평가를 하기보다 배송지연에 대해 불만만 얘기하게 되네요찌그러져서 온건 기본이고 상품이 포장과 분리되어 있는것도 있네요 ㅡ ㅡ,
oliveyoung,A000000011596,메디힐 W.H.P 미백수분 블랙 마스크 EX 10매,negative,2.0,전미백잘모르겟ㅈ만 사람들이좋다해서항상 사재기해놔요~ 근데시트도 별로고 같은메디힐인데 ㅋㅋ 진짜효과잇는거맞음?,
oliveyoung,A000000011596,메디힐 W.H.P 미백수분 블랙 마스크 EX 10매,neutral,3.0,좋은지모르겠으나진짜미백효고ㅓ있다하니항상사놔요 근데잘안쓰는건사실 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
oliveyoung,A000000230980,바이오더마 세비엄 H2O 500ml,negative,1.0,뚜껑이 깨져서 내용물 다 새서 왔네요^^ 기분이 아주 뭐 같네요ㅋ포장 이딴식으로 밖에 못하시나요 이렇게 잘 깨질 물건을 뽁뽁이 달랑 하나에 싸서 보내다니..,
oliveyoung,A000000102238,라로슈포제 미셀라 클렌징워터 센시티브 400ml,positive,5.0,라로슈포제가 순하다고 해서 구매했습니다. 베이스메이크업이 깔끔하게 잘지워지고 편하네요. 마스카라는 안지워집니다.,
oliveyoung,A000000011596,메디힐 W.H.P 미백수분 블랙 마스크 EX 10매,positive,5.0,"소문 듣고 주문했어요~~

사용해보니 확실히 소문날만 하네요~ 꾸준히 사용하게 될것 같습니다~ 감사해요",
