platform,product_id,product_name,review_count,match_count,reliability_pct,mismatch_count
coupang,104138,"올리세 퓨어 워터 미스트, 300ml, 1개",323,298,92.3,25
coupang,1067325796,"키스미 히로인메이크 롱앤컬 마스카라 EX 6g, 딥블랙, 1개쿠폰할인",314,299,95.2,15
coupang,1103663915,"닥터지 레드 블레미쉬 포 맨 올인원 플루이드, 150ml, 1개",311,302,97.1,9
coupang,110881849,"아이섀도우 팔레트 데일리 음영 메이크업 갈색 계열, 01 NO.1 베이직브라운, 1개",183,137,74.9,46
coupang,112291268,"미샤 4D 마스카라 7g, 블랙, 1개",309,290,93.9,19
coupang,1162973598,"미샤 듀이 루즈 립스틱, 1개, 슬로잉코랄",329,295,89.7,34
coupang,11745907,"HERA본사 정품헤라 선메이트 레포츠 프로 워터프루프 선크림 SPF50+ PA++++, 70ml, 1개R.L",30,20,66.7,10
coupang,1176713569,"일리윤 히알루론 모이스춰 수분크림, 100ml, 1개",327,321,98.2,6
coupang,1176905430,"바세린 보습 시트 마스크, 1개입, 10개",301,280,93.0,21
coupang,119460027,"마녀공장 허브 클렌징 오일, 200ml, 1개",308,275,89.3,33
coupang,12379102,"메디플라워 콜라겐 링클 아이크림, 40ml, 5개",313,272,86.9,41
coupang,1258863953,"에이트루 오리진 퓨어 밸런싱 클렌징 오일, 300ml, 1개",253,221,87.4,32
coupang,1262503387,"예화담 환생고 화윤 기초화장품 2종 세트, 1세트",34,30,88.2,4
coupang,1315767279,"한스킨 세미매트 블레미쉬 커버 컨실 쿠션파운데이션 본품 11g + 리필 11g, N21 크림, 1개",265,250,94.3,15
coupang,1322900613,"라퓨레브 달팽이 아이크림, 3개, 100ml쿠폰할인",46,44,95.7,2
coupang,1329432073,"앰플엔 센텔카밍샷 앰플, 100ml, 1개",171,160,93.6,11
coupang,136124456,"에스엔 스킨 티 크림, 1개, 50ml할인· 1일 남음",159,151,95.0,8
coupang,1362079507,"토니모리 더블니즈 팡팡 마스카라 12g, 3호 롱롱래쉬, 1개",302,255,84.4,47
coupang,1370411548,"더샘 스튜디오 광채 파운데이션 10ml, 1개, 뉴트럴 21호쿠폰할인",307,272,88.6,35
coupang,1380190995,"fmgt 워터프루프 이엑스 쿠션파운데이션 15g, V203 내추럴 베이지, 1개",72,58,80.6,14
coupang,1384189358,"더페이스샵 골드 콜라겐 볼륨마스카라 12g, 1개",183,160,87.4,23
coupang,1388107966,"수려한 연 퍼펙트 커버 BB크림 SPF50+ PA+++, 50ml, 1개",56,52,92.9,4
coupang,13894586,"아미옥 러브핏 휘핑립스 립틴트, 12포근한맛, 2개할인",182,130,71.4,52
coupang,1414809213,"라운드랩 독도 토너, 500ml, 1개",281,279,99.3,2
coupang,1423124805,"차앤박 톤 업 프로텍션 선크림 SPF42 PA+++, 50ml, 1개",307,287,93.5,20
coupang,1459876591,"은율 데일리 케어 히알루론산 미스트, 100ml, 3개",153,144,94.1,9
coupang,1473062788,"닥터지 그린 마일드 업 선 플러스 SPF50+ PA++++, 35ml, 2개",311,301,96.8,10
coupang,1485734813,"브이디엘 엑스퍼트 퍼펙트 핏 쿠션 본품 15g + 리필 15g 세트, A02, 1개",113,98,86.7,15
coupang,15391154,"머지 더 퍼스트 립스틱, 1개, L5KISSME",325,299,92.0,26
coupang,1547725003,"미샤 데어 루즈 쉬어 슬릭 립스틱, 1개, 올댓로즈",267,232,86.9,35
coupang,1556632809,"라운드랩 1025 독도 클렌저 클렌징 폼, 150ml, 1개",219,215,98.2,4
coupang,1570828403,"미바 이온칼슘 더블 알엑스 쿠션 파운데이션 본품 25g + 리필 25g 2p, 21호 화사한피부, 1개33",297,276,92.9,21
coupang,1572958261,"크리스마 더마랩 약산성 수분 진정 토너, 500ml, 1개",332,321,96.7,11
coupang,1601751188,"미샤 글로우 스킨밤 투 고 미스트, 80ml, 1개",300,263,87.7,37
coupang,1601751214,"[2입기획] 미샤 수퍼 아쿠아 울트라 히알론 클렌징 폼, 200ml, 2개",319,305,95.6,14
coupang,1605923161,"미샤 비타씨플러스 안색 토너, 200ml, 1개",134,113,84.3,21
coupang,1633597923,"에뛰드 더블래스팅 리퀴드 파운데이션 30g, 1개, 뉴트럴베이지",95,91,95.8,4
coupang,1665858959,"미샤 래디언스 퍼펙트핏 쿠션 15g, 23호 샌드, 1개",325,309,95.1,16
coupang,1688766354,"AHC 허브 솔루션 레몬 토너, 500ml, 1개",87,82,94.3,5
coupang,1688783769,"AHC 허브 솔루션 알로에 베라 토너, 500ml, 1개할인",105,94,89.5,11
coupang,1688789528,"AHC 허브 솔루션 로즈 토너, 500ml, 1개",93,88,94.6,5
coupang,1706630764,"포니이펙트 커버스테이 쿠션 파운데이션 EX 본품 15g + 리필 15g 세트, 002 내추럴아이보리, 1개4",272,259,95.2,13
coupang,1709804443,"더하르나이 시카이드 크림 미스트, 120ml, 1개",33,29,87.9,4
coupang,1711131706,"끌레드벨 글로우파워 리프트 브이 쿠션 파운데이션 리필 13g, 21호, 2개",205,187,91.2,18
