platform,category,product_name,rating,sentiment,review_content,review_date
musinsa,,때밀이 바디필링 살국수 때필링 300ml (택1),5.0,positive,정말 많이 사용한 제품인데 손으로 그냥 문지르면 각질이 떨어져 나가서 피부가 보들보들해져요 편하게 사용할 수 있어서 좋아요,
oliveyoung,skincare,[각질쓱싹] 디오디너리 글리코릭 애시드 7% 엑스폴리에이팅 토너 240ml,5.0,positive,자극 없이 요철 관리하기 좋은 것 같아요 양도 많고 쓰기 편해요,2026-05-12
coupang,클렌징오일,"어퓨 딥 클린 클렌징 오일, 160ml, 1개",5.0,positive,"여행용으로 급하게 필요해서
저렴한 제품으로 골라서 샀는데,
어퓨 제품은 저렴한 데 비해
제품력은 떨어지지 않고 좋은 것 같아요.

무겁지 않은, 라이트한 클렌징 오일이에요.
향도 은은하니 거슬리지 않아서 마음에 듭니다.",2024-07-15
coupang,선크림,"글로소울 글로우 업 카밍 쿨러 유브이 프로텍션 크림 SPF50+ PA++++, 50ml, 1개할인",5.0,positive,"워터리한 선크림이에요! 앰플바르는 듯한 느낌의 선크림이구요! 
화장품 냄새처럼 강한 향이 아니라서 거부감 없구요! 
백탁없고 흡수 빨라 화장이 밀리지 않아 맘에 들었습니다!
쿨링 효과가 있다해서 여름이 덫바르면서 피부 열을 내려줘도 좋을 것 같습니다~~
안전하고 순한 성분이라 재구매 의사 있구 ! 
비싸지 않은 가격이라 친구들에게도 추천햇습니당~~~~",2024-07-25
oliveyoung,maskpack,[리뉴얼/쫀광효과UP] 아로셀 슈퍼 콜라겐 마스크 2.0 ECM Active 3+1매 기획,5.0,positive,"아로셀 슈퍼 콜라겐 마스크 2.0 저번에 리뉴얼된 제품 써보고 좋아서 또 구입했어요 
수퍼콜라겐제품이라 기존보다 보습은 더 잡아주고 하이드로라이즈콜라겐부터 엘라스틴 히알루론산으로 되어 수분폭탄입니다. 콜라겐망을 300프로증가시켜 기존보다 더 쫀쫀하고 물광 차오르게 잡아주네요 8시간 착용가능한 겔마스크라 잘 때 붙이고 자면 투명해져 있어서 그때 제거해요 콜라겐PDRN까지 포함되어 진짜 잔주름과 주름에 필요한 제품이에요  너무사랑해서 숨겨두고 저만 쓰는데 리뉴얼하니 더 수분감폭탄이라 좋네요 완전추천하는 사랑하는 겔마스크입니다",2026-06-15
musinsa,,두피강화 캡슐 트리트먼트 220ml,5.0,positive,자주 쓰는 거라 재주문했네요 무난하고 좋아요 배송도 빠르고요,
oliveyoung,maskpack,[속보습] 라네즈 크림스킨 밀키 하이드레이션 마스크 5+1매 기획,4.0,positive,겔마스크 좋아 해서 구매해 해 보고 있는데 제가 생각한 그런 재질이 아니네요ㅠ 실패ㅜ,2026-01-19
oliveyoung,cleansing,[올영단독] 파파레서피 블레미쉬 효소파우더 클렌저 130g 대용량기획 (+팩붓+오일/크림 3ml*3),5.0,positive,"걍 재ㅐ재재쟂구매 템이라서 머..
주 3회 쓰고 (피부에 유분 피지 잘 쌓이는 수부지)
쓰고나면 확실히 개운하고 피부가 부들부들해져요
좀 민감한 날이면 히알루론산 폼클에 섞어서 쓰는데
야기저기 몸에도 쓰고 존좋탱 

개쌉 민감러 분들은 볼에 덜어서 붓으로 거품내서
펴바르시고 1분뒤 헹구깅! 유튜브에 꿀팁 많더라구요
굳~",2025-10-09
oliveyoung,skincare,[수부지 화잘먹 크림] 믹순 히알레배 포어 블러링 크림 50ml,5.0,positive,수부지 타입이라 항상 나이트 루틴 하고 시간 지나면 기름 올라오는 게 고민이었는데 이제품은 그런 고민 필요없이 딱 필요한 보습감을 많이 줘서 좋았어용♡ 왜 수부지 화잘먹 크림이라구 하는지 알 거 같아요,2026-05-08
musinsa,,소나무 진정 시카 두피 앰플 15ml,3.0,neutral,"처음에 불량인가 싶을 정도로 용액이 안나와요
뭐랄까 로션 거의 다 사용해서 탈탈 흔들어서 마지막 꺼 짜쓰는 거처럼 흔들어서 사용해야돼요
머리 떡짐 좀 있고 쿨링감?은 잘 모르겠고 머리에 바르기 불편해요.",
coupang,클렌징폼,"닥터지 레드 블레미쉬 포 맨 젠틀 클렌징 폼, 150ml, 1개",5.0,positive,"여드럼피부 아들이 주문한건데 사용후 피부가 깨끗해지길 기대합니다~~
사용감은 좋다고하네요~~거품도 풍성하고 씻고나서 개운한느낌 좋다고합니다",2023-07-21
musinsa,,[SET] 다이브인 모이스처 선크림 60ml x 2개 (+선세럼 20ml),5.0,positive,백택 없는 게 가장 좋았고 눈시림 있는 분들은 약간 불편할수도 있을거 같다는 생각입니다,
oliveyoung,cleansing,식물나라 제주 탄산수 딥 클렌징티슈 100매[단품/더블],5.0,positive,"비슷한 제품군들 중에서 가장 무난하고 가격도 이정도면 합리적이라고 생각합니다
전체적으로 만족스러워요",2026-05-19
musinsa,,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),5.0,positive,필요했는데 뷰티쿠폰 줘서 저렴하게 구매했어요!,
musinsa,,아토베리어365 크림 80ml,5.0,positive,세안 후 마무리단계로 크림은 에스트라만 써요!! 보습 굿,
oliveyoung,maskpack,[6월올영픽/총5매/수분쿨링] 라운드랩 자작나무 수분 더블 겔 마스크 4매 기획 (+1매),3.0,neutral,생각보다 그냥 그랬어료. 겔이라 얼굴에 잘 붙어있는건 좋은데 딱히 수분감이 많이 느껴지지않아서 재구매는 안할것 같아요,2026-01-16
coupang,립스틱,"블레스문 아임 뮤트 립스틱, 01 인, 3.4g, 1개할인",5.0,positive,"일단 패키지부터 넘마음에 드네요! 그리고 저는 작은 가방이 많은데 작아서 수납하기에도 너무좋아요!
컬러도 너무 마음에들고 각질밀림없이 발색이 좋았어요
저렴하게 잘 구매한거같아요!!
장미말린컬러라 베이스로 바르기에도 좋고
저는 이거바르규 립밤발라요 컬러너무예브네요",2026-03-24
musinsa,,[대용량] 아쿠아 스쿠알란 수분크림 80ml,5.0,positive,두통째 쓰고있어요 ! 무난하고 화장 안밀려서 좋아용,
musinsa,,[페이스&바디클렌저]티트리 퓨어 캐스틸 솝 950ml,5.0,positive,아이와함께매일쓰는제품인데무신사에서싸게구매했네요^^!!향도좋고새정력도좋아요~~!!,
coupang,화장품,비버리힐스폴로클럽 블루옴므 스킨2개+로션1개 3종 1세트 남성스킨로션 선물세트 패키지할인,4.0,positive,약간 아쉬운 것은 로션2스킨1 짜리도 있었으면 합니다,2024-09-09
musinsa,,헤어 트리트먼트 미라클 2X (475ml 대용량),5.0,positive,이거 쓰고 머리 다 감으면 머리카락 보드라워져요 굿,
oliveyoung,skincare,[장원영PICK] 닥터엘시아 345 릴리프 크림 50ml 기획 (+10ml*2ea+튜브링거),5.0,positive,예민한 편인데 순한거 같아요 근데 용기가 좀 불편하구 베일 수도 있을거같아여,2026-05-10
musinsa,,[SET] 어드밴스드 더 비타민씨 23 세럼 20g x 2개,5.0,positive,비타민 세럼답게 들어가있는게 보여서 좋은 것 같아요,
oliveyoung,skincare,[1+1+증정/광채탄력] 닥터지 블랙스네일 크림 50ml 1+1 기획 +(15ml 추가 증정),4.0,positive,건성이 쓰기에 좋고 보습력이 좋아서 자기 전에 바르기 좋아요,2026-04-29
musinsa,,[시그니처 에디션] 워터 트리트먼트 미라클 10 (480ml 대용량),5.0,positive,"1) 평소 나풀너풀 거칠고 자유로운 반곱슬
2) 세척 완료(?) 후 물미역 or 매생이 상태 (리얼 비단결
3) 수분 머금은 상태로 드라이어의 공격도 잘 버팀! 굿♡",
musinsa,,순정 디렉터 선크림 2pack 기획세트,5.0,positive,에뛰드 선크림은 처음 써보는데 순하고 촉하고 좋아요,
musinsa,,[무신사단독] 포 맨 1025 독도 올인원 플루이드 200ml (+독도 클렌저 40ml 증정),5.0,positive,끈덕끈덕하지 않아서 좋네요 저렴하게 구입했어요.,
musinsa,,포 맨 밤부 포레스트 메가 하드 스프레이 180ml,5.0,positive,"세팅력 생각보다 나쁘지않음
분사력 좋음 냄새도 나쁘지 않고 믿고쓰는 다슈!!",
musinsa,,세라마이드 아토 로션 350ml+집중크림 230ml,5.0,positive,일리윤 세라마이드 아토 로션 350ml+집중크림 230ml 구매후기!! 이번 행사때 가격이 좋아 쓰고있던 제품이 꽤 남았는데도 구매 했습니다. 배송 매우 빨랐고 건성이라서 로션과 집중크림 조합으로 하면 피부보습 너무 잘되고 좋습니다.,
oliveyoung,skincare,[100% 리뷰이벤트] 웰라쥬 리얼 히알루로닉 수딩 크림 80ml,5.0,positive,웰라쥬 앰플을 평소에도 너무 잘 사용하고 있어서 구매해봤어요! 수딩크림 제형이라서 여름에 바르기 딱 좋은 제형인 것 같아용! 부드럽게 수분을 채워주는 느낌입니다 ㅎㅎ,2026-05-15
oliveyoung,skincare,[속보습]코스알엑스 더 6 펩타이드 스킨 부스터 세럼 더블기획,5.0,positive,"추천을 보고 샀는데, 다들 효과가 좋다고 하니까 개선되길 바랍니다.",2026-06-01
oliveyoung,skincare,[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml),5.0,positive,독도 토너 500ml 진정 대용량! 촉촉하고 가볍고 자극 없어 민감피부도 완전 안심이에요.,2026-05-08
coupang,토너,"토니모리 원더 히알루론산 촉촉 토너, 500ml, 1개",5.0,positive,"용량이 정말 커서 아낌없이 쓸 수 있는 토너예요. 제형이 묽고 산뜻해서 세안 후에 바로 닦아내거나, 화장솜에 듬뿍 적셔 팩처럼 올려도 자극이 없었어요. 피부가 민감할 때도 따갑거나 붉어지지 않고 부드럽게 흡수됐습니다.

끈적임이 없는데도 수분감이 오래가서 건조한 계절에도 피부가 편안했어요. 얼굴뿐 아니라 바디 토너처럼 팔이나 다리에도 같이 쓰기 좋고, 용량이 많아서 부담 없이 사용할 수 있습니다.

500ml 대용량인데 가격도 착해서 가성비 정말 좋아요. 자극 없이 촉촉한 수분 토너 찾는 분들께 추천할 만한 제품이에요.",2025-11-07
musinsa,,아쿠아 오아시스 토너 300ml,5.0,positive,피부에 잘 흡수되고 피부도 촉촉해요 잘 구매한것같아요,
oliveyoung,cleansing,[더블기획] 마녀공장 갈락 필링젤 대용량 120mlX2 더블 기획,5.0,positive,한 달 동안 사용해 보니 정말 만족스럽습니다. 이 제품을 다 쓰면 꼭 다시 구매할 거예요.,2026-04-14
musinsa,,[SET] 다이브인 저분자 히알루론산 수딩크림 80ml X 2개 (+다이브인 세럼 20ml),5.0,positive,항상 쓰던거라 싸게 잘샀습니다 촉촉하게 좋습니다,
musinsa,,레티놀 시카 흔적 앰플 30mL,5.0,positive,앰플이라 크림보다 발림성이 좋습니다 저자극이라 입문으로 좋네요,
musinsa,,[무신사단독] [2pack] 소나무 진정 시카 바디 미스트 150ml,5.0,positive,진짜 확실히 너무 너무 촉촉하고 좋아요 피부가 정말 악건성이라 항상 바디로션 이고 크림이고 듬뿍 바르는데 이제품 먼저. 샤워하고 나와서 뿌리고 로션발라주면 정말 촉촉함이 오래가고 좋더라구요 ㅎㅎ 향도 너무 은은하고 완전 만족해요,
coupang,클렌징오일,"마녀공장 허브 클렌징 오일, 200ml, 1개",5.0,positive,"마녀공장 브랜드는 기존에 몇차례 이용을 해봤던지라 믿고 구매를 해봤습니다 20대 중반의 딸아이가 피부가 민감하다보니 화장품이나 피부에 닿는 물품들을 고를때 굉장히 까다롭게 선택을 하게 됩니다 우선 성능이나 효능을 떠나 순하고 자극적이지 않아야 사용할 수 있습니다 날씨가 안좋아도 울긋불긋하니 피부 발진은 물론 피부가 일어나는 요즘 젊은 친구들 표현대로 하자면 뒤집어지는 피부라 엄마 입장에서도 참 속상합니다 ㅠㅠ 어려서 아토피 피부도 없었는데... 
암튼 5일째 사용중인데 피부 자극없이 잘 사용중이랍니다 오일이지만 무거운 느낌도 없고 가볍고 부드럽게 롤링도 잘 되고 화장을 진하게 하는 편이 아니라 한번만 닦아도 잘 지워진다고 합니다 자극적인 성분이 없어 좋답니다 2021년 2월 18일까지로 유통기한도 넉넉하답니다",2019-05-11
musinsa,,[+바디워시 증정] 퍼퓸 데오 바디스프레이 200ml 프레쉬향,5.0,positive,향기가 너무 좋아요 기본으로 뿌리고 나가기 좋아요 무난합니다,
musinsa,,노스카나인 트러블 바디 워시 490ml,5.0,positive,사용하던 바디워시 저렴하게 구매해서 좋아요 ㅎㅎ 마음에 듭니다,
musinsa,,어드밴스드 더 비타민씨 23 세럼,5.0,positive,피부가 쫀쫀해지고 트러블없이 잘 맞아요 추천드랴,
oliveyoung,maskpack,[앰플37G/5+1매] 노프랍 하이드로겔 마스크팩 5+1매 기획 3종 (콜라겐/수분/모공),2.0,negative,"좁쌀여드름 많이 나는 수부지 피부입니다 사진은 붙인 지 2시간 된 상태인데 벌써 많이 투명해졌고 슬슬 건조감도 느꼈어요

전 요런 붙이고 자는 겔마스크가 잘 안 맞는 편이라 2시간만 붙였다 떼어냈는데도 다음날 역시 기분 나쁘게 번들거렸네요ㅜ 아줄렌이라 좀 덜할 줄 알았더니 이런 수면팩형 마스크는 다 제 피부에 과한 유분을 주나봐요 붙일 땐 쿨링감이 있어서 좋았지만 여드름이 좀 진정됐다거나 하는 효과는 느끼지 못했습니다",2026-04-12
oliveyoung,suncare,[포켓몬에디션/5월 올영픽] 아이디얼포맨 프레시 오일 컷 선스틱 단품/기획(+쿨링패치 4매),5.0,positive,씁.. 이게 선스틱 역할을 잘 하고있는지는 모르겠는데 바르면 보송하고 기름기 쫌 없어져서 파우더 없을때? 쓰기 좋아요ㅎㅎ,2026-05-12
oliveyoung,cleansing,[180ml리필증정] 하다라보 고쿠쥰 클렌징 오일 200mL,1.0,negative,"보습감은 있는데 우리는 세정해야 하잖아요...?
이거는 유화과정 처리도 잘안되고 그러다보니 피부에 자극있어요",2023-12-14
oliveyoung,skincare,우르오스 올인원 스킨밀크 200ml 증정기획/단품,5.0,positive,아빠가 계속 이것만 쓰시네요 좋은것 같아요 향기도 옆에서 맡았을때 좋아요!,2026-05-01
musinsa,,[SET] 다이브인 저분자 히알루론산 세럼 50ml+40ml (+시카컨트롤세럼 10ml),5.0,positive,수부지 피부인데 수분감 많고 순해서 잘사용하고 있어요!,
